,Price_Returns,CCUSMA02EZM618N,CPIAUCSL,UNRATE
1987-06-30,0.0012854851001415449,0.8765000000003059,113.5,6.2
1987-07-31,0.0021805608288049407,0.8886000000002241,113.8,6.1
1987-08-31,-0.0032604135326521197,0.89600000000064,114.3,6.0
1987-09-30,-0.000306236509806586,0.8734999999996941,114.7,5.9
1987-10-31,0.0008101219939793907,0.868599999999788,115.0,6.0
1987-11-30,-0.002799431682193347,0.814700000000812,115.4,5.8
1987-12-31,0.00018237939169710927,0.791400000000067,115.6,5.7
1988-01-31,-0.003959748139180529,0.800100000000384,116.0,5.7
1988-02-29,-0.00466466998528788,0.822000000000116,116.2,5.7
1988-03-31,0.002854527483087894,0.8109000000004021,116.5,5.7
1988-04-30,0.0032616015393763624,0.805700000000798,117.2,5.4
1988-05-31,-0.0010438188362170595,0.813099999999395,117.5,5.6
1988-06-30,-0.005948219181385661,0.8425000000006551,118.0,5.4
1988-07-31,0.005363650919381508,0.8863000000001191,118.5,5.4
1988-08-31,-0.003770194798655103,0.9058999999997472,119.0,5.6
1988-09-30,-0.008210762000206791,0.9002999999993341,119.5,5.4
1988-10-31,0.003212727916116836,0.87960000000021,119.9,5.4
1988-11-30,0.006672719095141929,0.8444999999992429,120.3,5.3
1988-12-31,0.006059410414438196,0.843999999999141,120.7,5.3
1989-01-31,0.0006822516017883533,0.8804999999993021,121.2,5.4
1989-02-28,0.0026442763620931954,0.8888999999999209,121.6,5.2
1989-03-31,0.008295161599339396,0.8966999999993279,122.2,5.0
1989-04-30,-0.00044487829275292044,0.899199999999837,123.1,5.2
1989-05-31,-0.004126314025008581,0.9375,123.7,5.2
1989-06-30,0.00022765522570500856,0.955400000000736,124.1,5.3
1989-07-31,-0.005350051702139102,0.914000000000669,124.5,5.2
1989-08-31,0.002387731162173607,0.927799999999479,124.5,5.2
1989-09-30,0.002818017278915518,0.941100000000006,124.8,5.3
1989-10-31,0.0017951175752047854,0.9071999999996478,125.4,5.3
1989-11-30,-0.0010602378342392629,0.893899999999121,125.9,5.4
1989-12-31,0.006932525074261745,0.856499999999869,126.3,5.4
1990-01-31,-0.000783908963287818,0.831899999999223,127.5,5.4
1990-02-28,-0.003189760531105873,0.8207999999995079,128.0,5.3
1990-03-31,-0.002998620843658696,0.835100000000239,128.6,5.2
1990-04-30,-0.004599777796631653,0.8251000000000199,128.9,5.4
1990-05-31,-0.0027315140906011936,0.8114000000005039,129.1,5.4
1990-06-30,0.0014767745546902865,0.8176999999996041,129.9,5.2
1990-07-31,0.009415739924790879,0.792699999999968,130.5,5.5
1990-08-31,0.017594501993220876,0.759899999999106,131.6,5.7
1990-09-30,0.020224704092812473,0.7616999999991091,132.5,5.9
1990-10-31,-0.0058779149694614344,0.7397999999993772,133.4,5.9
1990-11-30,-0.003508710998673145,0.7240000000001601,133.7,6.2
1990-12-31,-0.004294706863203696,0.7319999999999709,134.2,6.3
1991-01-31,-0.00920542438513976,0.7366999999994731,134.7,6.4
